Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,383.9,449.0,366.5,10.568749999999998,9.48125,14.6375,92.0,QB
Josh Allen,BUF,380.7,446.5,371.9,10.368749999999999,9.818749999999998,14.48125,84.0,QB
Jalen Hurts,PHI,378.4,427.0,370.6,10.224999999999998,9.7375,13.2625,75.0,QB
Lamar Jackson,BAL,350.6,396.1,338.6,8.4875,7.737500000000001,11.33125,69.0,QB
Joe Burrow,CIN,346.0,400.1,331.7,8.2,7.306249999999999,11.58125,62.0,QB
Justin Fields,CHI,326.0,371.8,310.4,6.949999999999999,5.974999999999998,9.8125,57.0,QB
Justin Herbert,LAC,321.6,383.1,319.6,6.675000000000001,6.550000000000001,10.51875,52.0,QB
Deshaun Watson,CLE,312.8,349.0,299.5,6.125,5.293749999999999,8.3875,47.0,QB
Kirk Cousins,MIN,301.0,357.2,285.6,5.387499999999999,4.425000000000001,8.899999999999999,43.0,QB
Trevor Lawrence,JAC,300.4,348.3,289.2,5.349999999999998,4.649999999999999,8.34375,38.0,QB
Dak Prescott,DAL,300.0,342.9,292.4,5.324999999999999,4.849999999999998,8.006249999999998,34.0,QB
Daniel Jones,NYG,297.3,335.8,289.0,5.15625,4.637499999999999,7.5625,30.0,QB
Geno Smith,SEA,295.4,362.9,282.2,5.037499999999998,4.212499999999999,9.256249999999998,26.0,QB
Aaron Rodgers,NYJ,286.0,329.3,278.8,4.449999999999999,4.0,7.15625,23.0,QB
Russell Wilson,DEN,282.4,321.0,253.3,4.224999999999998,2.40625,6.637499999999999,19.0,QB
Jared Goff,DET,278.9,332.0,272.0,4.006249999999998,3.5749999999999993,7.324999999999999,16.0,QB
Tua Tagovailoa,MIA,276.2,323.7,252.7,3.8374999999999986,2.3687499999999986,6.806249999999999,13.0,QB
Anthony Richardson,IND,260.8,292.0,182.9,2.875,-1.9937500000000004,4.824999999999999,11.0,QB
Derek Carr,NO,252.8,287.1,239.7,2.375,1.5562499999999986,4.518750000000001,9.0,QB
Kenny Pickett,PIT,250.6,288.2,231.6,2.237499999999999,1.049999999999999,4.587499999999999,7.0,QB
Jordan Love,GB,250.5,295.2,241.0,2.2312499999999993,1.6374999999999993,5.024999999999999,6.0,QB
Matthew Stafford,LAR,250.5,304.5,241.0,2.2312499999999993,1.6374999999999993,5.606249999999999,4.0,QB
Brock Purdy,SF,239.9,286.0,238.0,1.5687499999999996,1.4499999999999993,4.449999999999999,3.0,QB
Bryce Young,CAR,239.6,269.0,228.1,1.549999999999999,0.8312499999999989,3.3874999999999993,1.0,QB
Jimmy Garoppolo,LV,227.0,290.2,175.1,0.7624999999999993,-2.481250000000001,4.712499999999999,1.0,QB
C.J. Stroud,HOU,220.8,262.4,198.0,0.375,-1.0500000000000007,2.974999999999998,0.0,QB
Ryan Tannehill,TEN,219.6,243.1,192.9,0.29999999999999893,-1.3687500000000004,1.768749999999999,0.0,QB
Mac Jones,NE,218.6,250.6,170.0,0.23749999999999893,-2.8000000000000007,2.237499999999999,0.0,QB
Kyler Murray,ARI,214.8,267.0,168.3,0.0,-2.90625,3.2624999999999993,0.0,QB
Sam Howell,WAS,204.6,246.6,148.3,-0.6375000000000011,-4.15625,1.987499999999999,0.0,QB
Desmond Ridder,ATL,192.5,226.0,163.8,-1.3937500000000007,-3.1875,0.6999999999999993,0.0,QB
Baker Mayfield,TB,186.4,241.2,139.4,-1.7750000000000004,-4.7125,1.6499999999999986,0.0,QB
Jacoby Brissett,WAS,77.4,134.3,6.0,-8.5875,-13.05,-5.03125,0.0,QB
Kyle Trask,TB,76.2,99.4,42.0,-8.662500000000001,-10.8,-7.2125,0.0,QB
Colt McCoy,ARI,66.4,119.7,13.0,-9.275,-12.6125,-5.9437500000000005,0.0,QB
Will Levis,TEN,57.5,93.6,6.0,-9.83125,-13.05,-7.575000000000001,0.0,QB
Trey Lance,SF,52.1,111.6,0.0,-10.168750000000001,-13.425,-6.450000000000001,0.0,QB
Brian Hoyer,LV,44.8,75.8,16.2,-10.625,-12.412500000000001,-8.6875,0.0,QB
Taylor Heinicke,ATL,43.4,67.7,13.0,-10.7125,-12.6125,-9.193750000000001,0.0,QB
Gardner Minshew II,IND,41.1,81.8,5.0,-10.856250000000001,-13.1125,-8.3125,0.0,QB
Sam Darnold,SF,34.2,71.4,2.5,-11.287500000000001,-13.26875,-8.9625,0.0,QB
Mike White,MIA,32.1,41.5,18.0,-11.418750000000001,-12.3,-10.83125,0.0,QB
Bailey Zappe,NE,30.9,48.3,4.0,-11.49375,-13.175,-10.40625,0.0,QB
Clayton Tune,ARI,29.6,25.2,25.2,-11.575000000000001,-11.850000000000001,-11.850000000000001,0.0,QB
Davis Mills,HOU,26.5,39.7,7.0,-11.76875,-12.9875,-10.943750000000001,0.0,QB
Tyrod Taylor,NYG,24.9,24.7,9.0,-11.86875,-12.8625,-11.881250000000001,0.0,QB
Marcus Mariota,PHI,23.8,36.5,8.5,-11.9375,-12.89375,-11.14375,0.0,QB
Brett Rypien,LAR,23.5,30.0,9.0,-11.95625,-12.8625,-11.55,0.0,QB
Tyler Huntley,BAL,23.3,30.1,7.0,-11.96875,-12.9875,-11.543750000000001,0.0,QB
Andy Dalton,CAR,23.0,26.5,7.0,-11.9875,-12.9875,-11.76875,0.0,QB
Mitch Trubisky,PIT,22.4,40.7,7.0,-12.025,-12.9875,-10.881250000000001,0.0,QB
Jarrett Stidham,DEN,21.4,40.1,9.0,-12.0875,-12.8625,-10.918750000000001,0.0,QB
Teddy Bridgewater,DET,19.6,26.0,9.0,-12.200000000000001,-12.8625,-11.8,0.0,QB
Zach Wilson,NYJ,19.5,20.4,16.5,-12.20625,-12.39375,-12.15,0.0,QB
Jameis Winston,NO,19.2,28.9,9.0,-12.225000000000001,-12.8625,-11.61875,0.0,QB
Easton Stick,LAC,19.2,18.6,18.6,-12.225000000000001,-12.262500000000001,-12.262500000000001,0.0,QB
Sean Clifford,GB,19.1,27.2,5.4,-12.231250000000001,-13.0875,-11.725000000000001,0.0,QB
Joshua Dobbs,CLE,19.0,28.6,7.0,-12.2375,-12.9875,-11.637500000000001,0.0,QB
Hendon Hooker,DET,19.0,16.2,16.2,-12.2375,-12.412500000000001,-12.412500000000001,0.0,QB
