Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,383.9,449.0,366.5,11.962499999999999,10.875,16.03125,93.0,QB
Josh Allen,BUF,380.7,446.5,371.9,11.7625,11.212499999999999,15.875,86.0,QB
Jalen Hurts,PHI,378.4,427.0,370.6,11.618749999999999,11.131250000000001,14.65625,79.0,QB
Lamar Jackson,BAL,350.6,396.1,338.6,9.881250000000001,9.131250000000001,12.725000000000001,73.0,QB
Joe Burrow,CIN,346.0,400.1,331.7,9.59375,8.7,12.975000000000001,67.0,QB
Justin Fields,CHI,326.0,371.8,310.4,8.34375,7.368749999999999,11.20625,62.0,QB
Justin Herbert,LAC,321.6,383.1,319.6,8.068750000000001,7.943750000000001,11.912500000000001,58.0,QB
Deshaun Watson,CLE,312.8,349.0,299.5,7.518750000000001,6.6875,9.78125,53.0,QB
Kirk Cousins,MIN,301.0,357.2,285.6,6.78125,5.818750000000001,10.29375,49.0,QB
Trevor Lawrence,JAC,300.4,348.3,289.2,6.743749999999999,6.043749999999999,9.7375,45.0,QB
Dak Prescott,DAL,300.0,342.9,292.4,6.71875,6.243749999999999,9.399999999999999,41.0,QB
Daniel Jones,NYG,297.3,335.8,289.0,6.550000000000001,6.03125,8.95625,37.0,QB
Geno Smith,SEA,295.4,362.9,282.2,6.431249999999999,5.606249999999999,10.649999999999999,33.0,QB
Aaron Rodgers,NYJ,286.0,329.3,278.8,5.84375,5.393750000000001,8.55,30.0,QB
Russell Wilson,DEN,282.4,321.0,253.3,5.618749999999999,3.8000000000000007,8.03125,27.0,QB
Jared Goff,DET,278.9,332.0,272.0,5.399999999999999,4.96875,8.71875,23.0,QB
Tua Tagovailoa,MIA,276.2,323.7,252.7,5.231249999999999,3.7624999999999993,8.2,20.0,QB
Anthony Richardson,IND,260.8,292.0,182.9,4.268750000000001,-0.5999999999999996,6.21875,18.0,QB
Derek Carr,NO,252.8,287.1,239.7,3.7687500000000007,2.9499999999999993,5.912500000000001,16.0,QB
Kenny Pickett,PIT,250.6,288.2,231.6,3.6312499999999996,2.4437499999999996,5.981249999999999,13.0,QB
Jordan Love,GB,250.5,295.2,241.0,3.625,3.03125,6.418749999999999,11.0,QB
Matthew Stafford,LAR,250.5,304.5,241.0,3.625,3.03125,7.0,9.0,QB
Brock Purdy,SF,239.9,286.0,238.0,2.9625000000000004,2.84375,5.84375,7.0,QB
Bryce Young,CAR,239.6,269.0,228.1,2.9437499999999996,2.2249999999999996,4.78125,6.0,QB
Jimmy Garoppolo,LV,227.0,290.2,175.1,2.15625,-1.0875000000000004,6.106249999999999,4.0,QB
C.J. Stroud,HOU,220.8,262.4,198.0,1.7687500000000007,0.34375,4.368749999999999,3.0,QB
Ryan Tannehill,TEN,219.6,243.1,192.9,1.6937499999999996,0.025000000000000355,3.1624999999999996,2.0,QB
Mac Jones,NE,218.6,250.6,170.0,1.6312499999999996,-1.40625,3.6312499999999996,1.0,QB
Kyler Murray,ARI,214.8,267.0,168.3,1.3937500000000007,-1.5124999999999993,4.65625,0.0,QB
Sam Howell,WAS,204.6,246.6,148.3,0.7562499999999996,-2.7624999999999993,3.3812499999999996,0.0,QB
Desmond Ridder,ATL,192.5,226.0,163.8,0.0,-1.7937499999999993,2.09375,0.0,QB
Baker Mayfield,TB,186.4,241.2,139.4,-0.38124999999999964,-3.3187499999999996,3.0437499999999993,0.0,QB
Jacoby Brissett,WAS,77.4,134.3,6.0,-7.19375,-11.65625,-3.6374999999999993,0.0,QB
Kyle Trask,TB,76.2,99.4,42.0,-7.26875,-9.40625,-5.81875,0.0,QB
Colt McCoy,ARI,66.4,119.7,13.0,-7.88125,-11.21875,-4.55,0.0,QB
Will Levis,TEN,57.5,93.6,6.0,-8.4375,-11.65625,-6.18125,0.0,QB
Trey Lance,SF,52.1,111.6,0.0,-8.775,-12.03125,-5.05625,0.0,QB
Brian Hoyer,LV,44.8,75.8,16.2,-9.23125,-11.01875,-7.29375,0.0,QB
Taylor Heinicke,ATL,43.4,67.7,13.0,-9.31875,-11.21875,-7.8,0.0,QB
Gardner Minshew II,IND,41.1,81.8,5.0,-9.4625,-11.71875,-6.91875,0.0,QB
Sam Darnold,SF,34.2,71.4,2.5,-9.89375,-11.875,-7.56875,0.0,QB
Mike White,MIA,32.1,41.5,18.0,-10.025,-10.90625,-9.4375,0.0,QB
Bailey Zappe,NE,30.9,48.3,4.0,-10.1,-11.78125,-9.0125,0.0,QB
Clayton Tune,ARI,29.6,25.2,25.2,-10.18125,-10.45625,-10.45625,0.0,QB
Davis Mills,HOU,26.5,39.7,7.0,-10.375,-11.59375,-9.55,0.0,QB
Tyrod Taylor,NYG,24.9,24.7,9.0,-10.475,-11.46875,-10.4875,0.0,QB
