Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,383.4,434.0,366.5,11.568749999999998,10.5125,14.73125,93.0,QB
Jalen Hurts,PHI,381.1,427.0,370.6,11.425,10.76875,14.29375,86.0,QB
Josh Allen,BUF,380.5,393.5,371.9,11.3875,10.849999999999998,12.2,79.0,QB
Lamar Jackson,BAL,352.2,367.0,338.6,9.618749999999999,8.76875,10.54375,73.0,QB
Joe Burrow,CIN,347.8,366.4,330.9,9.34375,8.287499999999998,10.506249999999998,67.0,QB
Justin Fields,CHI,326.3,333.0,310.4,8.0,7.006249999999998,8.41875,62.0,QB
Justin Herbert,LAC,321.6,341.0,319.6,7.706250000000001,7.581250000000001,8.91875,57.0,QB
Deshaun Watson,CLE,317.9,343.0,299.9,7.474999999999998,6.349999999999998,9.04375,53.0,QB
Dak Prescott,DAL,304.3,315.0,292.4,6.625,5.881249999999998,7.293749999999999,49.0,QB
Trevor Lawrence,JAC,303.3,318.0,289.2,6.5625,5.681249999999999,7.481249999999999,45.0,QB
Kirk Cousins,MIN,300.9,338.0,285.5,6.412499999999998,5.449999999999999,8.73125,41.0,QB
Daniel Jones,NYG,298.6,313.0,289.0,6.268750000000001,5.668749999999999,7.168749999999999,37.0,QB
Geno Smith,SEA,294.4,305.5,282.2,6.006249999999998,5.243749999999999,6.699999999999999,33.0,QB
Aaron Rodgers,NYJ,287.5,315.0,278.8,5.574999999999999,5.03125,7.293749999999999,30.0,QB
Russell Wilson,DEN,287.0,321.0,253.3,5.543749999999999,3.4375,7.668749999999999,26.0,QB
Jared Goff,DET,279.0,332.0,256.7,5.043749999999999,3.6499999999999986,8.35625,23.0,QB
Tua Tagovailoa,MIA,277.6,293.4,252.7,4.956250000000001,3.3999999999999986,5.943749999999998,20.0,QB
Anthony Richardson,IND,269.5,292.0,182.9,4.449999999999999,-0.9625000000000004,5.856249999999999,17.0,QB
Derek Carr,NO,256.4,267.7,239.7,3.631249999999998,2.5874999999999986,4.337499999999999,15.0,QB
Kenny Pickett,PIT,252.8,262.0,231.6,3.40625,2.081249999999999,3.9812499999999993,13.0,QB
Jordan Love,GB,252.2,267.2,241.0,3.3687499999999986,2.6687499999999993,4.306249999999999,11.0,QB
