Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,383.9,449.0,366.5,10.193749999999998,9.10625,14.2625,91.0,QB
Josh Allen,BUF,380.7,446.5,371.9,9.993749999999999,9.443749999999998,14.10625,83.0,QB
Jalen Hurts,PHI,378.4,427.0,370.6,9.849999999999998,9.3625,12.8875,74.0,QB
Lamar Jackson,BAL,350.6,396.1,338.6,8.1125,7.362500000000001,10.95625,67.0,QB
Joe Burrow,CIN,346.0,400.1,331.7,7.824999999999999,6.931249999999999,11.20625,61.0,QB
Justin Fields,CHI,326.0,371.8,310.4,6.574999999999999,5.599999999999998,9.4375,55.0,QB
Justin Herbert,LAC,321.6,383.1,319.6,6.300000000000001,6.175000000000001,10.14375,50.0,QB
Deshaun Watson,CLE,312.8,349.0,299.5,5.75,4.918749999999999,8.0125,45.0,QB
Kirk Cousins,MIN,301.0,357.2,285.6,5.012499999999999,4.050000000000001,8.524999999999999,40.0,QB
Trevor Lawrence,JAC,300.4,348.3,289.2,4.974999999999998,4.274999999999999,7.96875,36.0,QB
Dak Prescott,DAL,300.0,342.9,292.4,4.949999999999999,4.474999999999998,7.631249999999998,32.0,QB
Daniel Jones,NYG,297.3,335.8,289.0,4.78125,4.262499999999999,7.1875,28.0,QB
Geno Smith,SEA,295.4,362.9,282.2,4.662499999999998,3.8374999999999986,8.881249999999998,24.0,QB
Aaron Rodgers,NYJ,286.0,329.3,278.8,4.074999999999999,3.625,6.78125,20.0,QB
Russell Wilson,DEN,282.4,321.0,253.3,3.849999999999998,2.03125,6.262499999999999,17.0,QB
Jared Goff,DET,278.9,332.0,272.0,3.631249999999998,3.1999999999999993,6.949999999999999,14.0,QB
Tua Tagovailoa,MIA,276.2,323.7,252.7,3.4624999999999986,1.9937499999999986,6.431249999999999,11.0,QB
Anthony Richardson,IND,260.8,292.0,182.9,2.5,-2.3687500000000004,4.449999999999999,9.0,QB
Derek Carr,NO,252.8,287.1,239.7,2.0,1.1812499999999986,4.143750000000001,7.0,QB
Kenny Pickett,PIT,250.6,288.2,231.6,1.862499999999999,0.6749999999999989,4.212499999999999,6.0,QB
Jordan Love,GB,250.5,295.2,241.0,1.8562499999999993,1.2624999999999993,4.649999999999999,4.0,QB
Matthew Stafford,LAR,250.5,304.5,241.0,1.8562499999999993,1.2624999999999993,5.231249999999999,2.0,QB
Brock Purdy,SF,239.9,286.0,238.0,1.1937499999999996,1.0749999999999993,4.074999999999999,1.0,QB
Bryce Young,CAR,239.6,269.0,228.1,1.174999999999999,0.45624999999999893,3.0124999999999993,0.0,QB
Jimmy Garoppolo,LV,227.0,290.2,175.1,0.3874999999999993,-2.856250000000001,4.337499999999999,0.0,QB
C.J. Stroud,HOU,220.8,262.4,198.0,0.0,-1.4250000000000007,2.599999999999998,0.0,QB
Ryan Tannehill,TEN,219.6,243.1,192.9,-0.07500000000000107,-1.7437500000000004,1.393749999999999,0.0,QB
Mac Jones,NE,218.6,250.6,170.0,-0.13750000000000107,-3.1750000000000007,1.862499999999999,0.0,QB
Kyler Murray,ARI,214.8,267.0,168.3,-0.375,-3.28125,2.8874999999999993,0.0,QB
Sam Howell,WAS,204.6,246.6,148.3,-1.012500000000001,-4.53125,1.612499999999999,0.0,QB
Desmond Ridder,ATL,192.5,226.0,163.8,-1.7687500000000007,-3.5625,0.3249999999999993,0.0,QB
Baker Mayfield,TB,186.4,241.2,139.4,-2.1500000000000004,-5.0875,1.2749999999999986,0.0,QB
Jacoby Brissett,WAS,77.4,134.3,6.0,-8.9625,-13.425,-5.40625,0.0,QB
Kyle Trask,TB,76.2,99.4,42.0,-9.037500000000001,-11.175,-7.5875,0.0,QB
Colt McCoy,ARI,66.4,119.7,13.0,-9.65,-12.9875,-6.3187500000000005,0.0,QB
Will Levis,TEN,57.5,93.6,6.0,-10.20625,-13.425,-7.950000000000001,0.0,QB
Trey Lance,SF,52.1,111.6,0.0,-10.543750000000001,-13.8,-6.825000000000001,0.0,QB
Brian Hoyer,LV,44.8,75.8,16.2,-11.0,-12.787500000000001,-9.0625,0.0,QB
Taylor Heinicke,ATL,43.4,67.7,13.0,-11.0875,-12.9875,-9.568750000000001,0.0,QB
Gardner Minshew II,IND,41.1,81.8,5.0,-11.231250000000001,-13.4875,-8.6875,0.0,QB
Sam Darnold,SF,34.2,71.4,2.5,-11.662500000000001,-13.64375,-9.3375,0.0,QB
Mike White,MIA,32.1,41.5,18.0,-11.793750000000001,-12.675,-11.20625,0.0,QB
Bailey Zappe,NE,30.9,48.3,4.0,-11.86875,-13.55,-10.78125,0.0,QB
Clayton Tune,ARI,29.6,25.2,25.2,-11.950000000000001,-12.225000000000001,-12.225000000000001,0.0,QB
Davis Mills,HOU,26.5,39.7,7.0,-12.14375,-13.3625,-11.318750000000001,0.0,QB
Tyrod Taylor,NYG,24.9,24.7,9.0,-12.24375,-13.2375,-12.256250000000001,0.0,QB
Marcus Mariota,PHI,23.8,36.5,8.5,-12.3125,-13.26875,-11.51875,0.0,QB
Brett Rypien,LAR,23.5,30.0,9.0,-12.33125,-13.2375,-11.925,0.0,QB
Tyler Huntley,BAL,23.3,30.1,7.0,-12.34375,-13.3625,-11.918750000000001,0.0,QB
Andy Dalton,CAR,23.0,26.5,7.0,-12.3625,-13.3625,-12.14375,0.0,QB
