Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Josh Allen,BUF,382.4,446.5,357.6,10.031249999999998,8.481250000000001,14.0375,91.0,QB
Patrick Mahomes II,KC,381.8,449.0,366.5,9.99375,9.0375,14.19375,83.0,QB
Jalen Hurts,PHI,378.0,426.0,337.5,9.75625,7.225,12.75625,74.0,QB
Lamar Jackson,BAL,350.9,396.1,327.6,8.062499999999998,6.606250000000001,10.887500000000001,67.0,QB
Joe Burrow,CIN,346.1,400.1,331.2,7.762500000000001,6.831249999999999,11.137500000000001,60.0,QB
Justin Fields,CHI,326.5,375.8,308.9,6.5375,5.437499999999998,9.61875,55.0,QB
Justin Herbert,LAC,321.6,383.1,296.1,6.231250000000001,4.637500000000001,10.075000000000001,49.0,QB
Deshaun Watson,CLE,311.2,336.0,297.3,5.581249999999999,4.7125,7.13125,45.0,QB
Dak Prescott,DAL,301.2,342.9,281.8,4.956249999999999,3.7437500000000004,7.562499999999998,40.0,QB
Trevor Lawrence,JAC,300.6,348.3,282.3,4.918750000000001,3.7750000000000004,7.9,36.0,QB
Kirk Cousins,MIN,299.4,357.2,285.1,4.843749999999998,3.950000000000001,8.456249999999999,32.0,QB
Daniel Jones,NYG,296.8,335.8,268.9,4.68125,2.9374999999999982,7.11875,28.0,QB
Geno Smith,SEA,296.2,362.9,271.6,4.643749999999999,3.106250000000001,8.812499999999998,24.0,QB
Aaron Rodgers,NYJ,282.1,329.3,270.5,3.762500000000001,3.0374999999999996,6.7125,20.0,QB
Russell Wilson,DEN,279.6,309.5,253.3,3.606250000000001,1.9625000000000004,5.475,17.0,QB
Tua Tagovailoa,MIA,278.4,323.7,252.7,3.5312499999999982,1.924999999999999,6.362499999999999,14.0,QB
Jared Goff,DET,276.3,332.0,244.5,3.4000000000000004,1.4124999999999996,6.88125,11.0,QB
Anthony Richardson,IND,269.6,308.9,182.9,2.981250000000001,-2.4375,5.437499999999998,9.0,QB
Derek Carr,NO,252.4,287.1,238.6,1.90625,1.0437499999999993,4.075000000000001,7.0,QB
Matthew Stafford,LAR,251.1,304.5,238.2,1.8249999999999993,1.018749999999999,5.1625,5.0,QB
Jordan Love,GB,250.8,295.2,212.1,1.8062500000000004,-0.6125000000000007,4.581249999999999,4.0,QB
Kenny Pickett,PIT,250.6,288.2,231.6,1.7937499999999993,0.6062499999999993,4.143749999999999,2.0,QB
Bryce Young,CAR,240.4,269.0,206.6,1.15625,-0.9562500000000007,2.9437499999999996,1.0,QB
Brock Purdy,SF,239.3,286.0,201.2,1.0875000000000004,-1.293750000000001,4.00625,0.0,QB
Jimmy Garoppolo,LV,228.2,290.2,187.0,0.39374999999999893,-2.1812500000000004,4.268749999999999,-0.0,QB
Ryan Tannehill,TEN,221.9,244.0,192.9,0.0,-1.8125,1.3812499999999996,-0.0,QB
C.J. Stroud,HOU,218.4,262.4,185.4,-0.21875,-2.28125,2.5312499999999982,0.0,QB
Mac Jones,NE,217.8,247.4,170.0,-0.25624999999999964,-3.2437500000000004,1.59375,0.0,QB
Kyler Murray,ARI,215.1,267.0,168.3,-0.4250000000000007,-3.3499999999999996,2.8187499999999996,0.0,QB
Sam Howell,WAS,205.6,252.0,148.3,-1.0187500000000007,-4.6,1.8812499999999996,0.0,QB
Desmond Ridder,ATL,191.2,220.0,163.8,-1.918750000000001,-3.6312499999999996,-0.11875000000000036,0.0,QB
Baker Mayfield,TB,187.1,245.1,137.1,-2.1750000000000007,-5.300000000000001,1.4499999999999993,0.0,QB
Jacoby Brissett,WAS,77.2,134.3,6.0,-9.04375,-13.49375,-5.475,0.0,QB
Kyle Trask,TB,76.7,99.4,42.0,-9.075,-11.24375,-7.65625,0.0,QB
Colt McCoy,ARI,71.6,119.7,13.0,-9.39375,-13.05625,-6.3875,0.0,QB
Will Levis,TEN,57.2,93.6,6.0,-10.29375,-13.49375,-8.01875,0.0,QB
Trey Lance,SF,52.3,111.6,0.0,-10.600000000000001,-13.86875,-6.893750000000001,0.0,QB
Brian Hoyer,LV,44.7,75.8,16.2,-11.075,-12.856250000000001,-9.131250000000001,0.0,QB
Taylor Heinicke,ATL,43.4,67.7,13.0,-11.15625,-13.05625,-9.6375,0.0,QB
Gardner Minshew II,IND,38.1,81.8,5.0,-11.4875,-13.55625,-8.756250000000001,0.0,QB
Mike White,MIA,33.0,41.5,18.0,-11.80625,-12.74375,-11.275,0.0,QB
Bailey Zappe,NE,30.8,48.3,4.0,-11.94375,-13.61875,-10.850000000000001,0.0,QB
Clayton Tune,ARI,29.8,28.4,25.2,-12.00625,-12.293750000000001,-12.09375,0.0,QB
Sam Darnold,SF,28.5,44.2,2.5,-12.0875,-13.7125,-11.10625,0.0,QB
Davis Mills,HOU,26.4,39.7,7.0,-12.21875,-13.43125,-11.3875,0.0,QB
