Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,383.9,449.0,366.5,19.84375,18.75625,23.9125,95.0,QB
Josh Allen,BUF,380.7,446.5,371.9,19.643749999999997,19.09375,23.75625,91.0,QB
Jalen Hurts,PHI,378.4,427.0,370.6,19.5,19.012500000000003,22.5375,86.0,QB
Lamar Jackson,BAL,350.6,396.1,338.6,17.762500000000003,17.012500000000003,20.606250000000003,82.0,QB
Joe Burrow,CIN,346.0,400.1,331.7,17.475,16.581249999999997,20.856250000000003,78.0,QB
Justin Fields,CHI,326.0,371.8,310.4,16.225,15.249999999999998,19.0875,74.0,QB
Justin Herbert,LAC,321.6,383.1,319.6,15.950000000000001,15.825000000000001,19.793750000000003,70.0,QB
Deshaun Watson,CLE,312.8,349.0,299.5,15.4,14.56875,17.6625,66.0,QB
Kirk Cousins,MIN,301.0,357.2,285.6,14.6625,13.700000000000001,18.174999999999997,63.0,QB
Trevor Lawrence,JAC,300.4,348.3,289.2,14.624999999999998,13.924999999999999,17.61875,59.0,QB
Dak Prescott,DAL,300.0,342.9,292.4,14.6,14.124999999999998,17.28125,56.0,QB
Daniel Jones,NYG,297.3,335.8,289.0,14.43125,13.9125,16.8375,53.0,QB
Geno Smith,SEA,295.4,362.9,282.2,14.312499999999998,13.487499999999999,18.53125,49.0,QB
Aaron Rodgers,NYJ,286.0,329.3,278.8,13.725,13.275,16.43125,46.0,QB
Russell Wilson,DEN,282.4,321.0,253.3,13.499999999999998,11.68125,15.9125,43.0,QB
Jared Goff,DET,278.9,332.0,272.0,13.281249999999998,12.85,16.6,40.0,QB
Tua Tagovailoa,MIA,276.2,323.7,252.7,13.112499999999999,11.643749999999999,16.081249999999997,36.0,QB
Anthony Richardson,IND,260.8,292.0,182.9,12.15,7.28125,14.1,34.0,QB
Derek Carr,NO,252.8,287.1,239.7,11.65,10.831249999999999,13.793750000000001,31.0,QB
Kenny Pickett,PIT,250.6,288.2,231.6,11.5125,10.325,13.862499999999999,28.0,QB
Jordan Love,GB,250.5,295.2,241.0,11.50625,10.9125,14.299999999999999,25.0,QB
Matthew Stafford,LAR,250.5,304.5,241.0,11.50625,10.9125,14.88125,23.0,QB
Brock Purdy,SF,239.9,286.0,238.0,10.84375,10.725,13.725,20.0,QB
Bryce Young,CAR,239.6,269.0,228.1,10.825,10.10625,12.6625,17.0,QB
Jimmy Garoppolo,LV,227.0,290.2,175.1,10.0375,6.793749999999999,13.987499999999999,15.0,QB
C.J. Stroud,HOU,220.8,262.4,198.0,9.65,8.225,12.249999999999998,13.0,QB
Ryan Tannehill,TEN,219.6,243.1,192.9,9.575,7.90625,11.04375,10.0,QB
Mac Jones,NE,218.6,250.6,170.0,9.5125,6.475,11.5125,8.0,QB
Kyler Murray,ARI,214.8,267.0,168.3,9.275,6.36875,12.5375,6.0,QB
Sam Howell,WAS,204.6,246.6,148.3,8.6375,5.11875,11.2625,4.0,QB
