Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Patrick Mahomes II,KC,383.4,434.0,366.5,9.818749999999998,8.7625,12.98125,91.0,QB
Josh Allen,BUF,380.8,394.4,357.6,9.65625,8.20625,10.506249999999998,83.0,QB
Jalen Hurts,PHI,379.3,424.0,337.8,9.5625,6.96875,12.35625,74.0,QB
Lamar Jackson,BAL,352.4,367.0,327.6,7.881249999999998,6.331250000000001,8.79375,67.0,QB
Joe Burrow,CIN,347.9,366.4,331.2,7.599999999999998,6.556249999999999,8.756249999999998,60.0,QB
Justin Fields,CHI,327.3,341.0,308.8,6.3125,5.15625,7.168749999999999,55.0,QB
Justin Herbert,LAC,321.6,342.0,296.2,5.956250000000001,4.368749999999999,7.231249999999999,49.0,QB
Deshaun Watson,CLE,317.3,338.0,297.3,5.6875,4.4375,6.981249999999999,44.0,QB
Dak Prescott,DAL,304.8,315.0,281.8,4.90625,3.46875,5.543749999999999,40.0,QB
Trevor Lawrence,JAC,303.3,319.0,282.3,4.8125,3.5,5.793749999999999,35.0,QB
Kirk Cousins,MIN,300.8,338.0,285.1,4.65625,3.6750000000000007,6.981249999999999,31.0,QB
Daniel Jones,NYG,298.5,313.0,269.0,4.512499999999999,2.6687499999999993,5.418749999999999,27.0,QB
Geno Smith,SEA,294.7,305.5,271.6,4.274999999999999,2.8312500000000007,4.949999999999999,23.0,QB
Russell Wilson,DEN,284.2,302.0,253.3,3.6187499999999986,1.6875,4.731249999999999,20.0,QB
Tua Tagovailoa,MIA,283.1,298.0,252.7,3.5500000000000007,1.6499999999999986,4.481249999999999,17.0,QB
Aaron Rodgers,NYJ,283.0,315.0,270.5,3.5437499999999993,2.7624999999999993,5.543749999999999,14.0,QB
Jared Goff,DET,278.6,332.0,244.2,3.2687500000000007,1.1187499999999986,6.606249999999999,11.0,QB
Anthony Richardson,IND,272.3,296.0,182.9,2.875,-2.7125000000000004,4.356249999999999,8.0,QB
Derek Carr,NO,259.4,267.7,238.6,2.068749999999998,0.7687499999999989,2.5874999999999986,6.0,QB
Jordan Love,GB,254.8,268.2,212.1,1.78125,-0.8875000000000011,2.6187499999999986,5.0,QB
Kenny Pickett,PIT,254.0,270.0,231.6,1.7312499999999993,0.33124999999999893,2.7312499999999993,3.0,QB
Matthew Stafford,LAR,248.1,256.0,233.0,1.362499999999999,0.4187499999999993,1.8562499999999993,2.0,QB
Brock Purdy,SF,246.0,286.0,201.3,1.2312499999999993,-1.5625,3.7312499999999993,1.0,QB
Bryce Young,CAR,243.2,251.0,206.7,1.0562499999999986,-1.2250000000000014,1.5437499999999993,0.0,QB
Jimmy Garoppolo,LV,226.6,250.1,187.0,0.018749999999998934,-2.4562500000000007,1.487499999999999,0.0,QB
Ryan Tannehill,TEN,226.3,243.2,192.9,0.0,-2.0875000000000004,1.0562499999999986,0.0,QB
Mac Jones,NE,222.0,247.4,170.0,-0.2687500000000007,-3.5187500000000007,1.3187499999999996,0.0,QB
Kyler Murray,ARI,220.5,267.0,168.3,-0.3625000000000007,-3.625,2.5437499999999993,0.0,QB
C.J. Stroud,HOU,220.1,236.3,185.4,-0.38750000000000107,-2.5562500000000004,0.625,0.0,QB
Sam Howell,WAS,217.9,252.0,148.3,-0.5250000000000004,-4.875,1.6062499999999993,0.0,QB
