"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","216.9","1,004.6","7.3","75.0","636.0","4.2","1.0","268.5"
"","high","246.0","1,107.0","9.6","87.0","694.2","5.4","0.0","360.7"
"","low","188.0","854.4","6.0","66.0","552.5","2.5","3.0","234.5"
"Austin Ekeler","LAC","191.2","861.2","9.4","77.6","599.5","3.9","1.7","261.0"
"","high","214.2","1,026.2","11.0","85.0","674.0","5.0","0.6","353.6"
"","low","175.0","716.5","5.8","67.5","500.7","2.9","3.0","246.8"
"Josh Jacobs","LV","266.4","1,237.4","9.8","40.6","297.0","0.9","1.7","234.6"
"","high","296.6","1,443.2","10.8","49.0","377.0","1.9","1.1","305.8"
"","low","254.0","1,098.5","9.0","33.0","249.0","0.0","3.0","190.3"
"Bijan Robinson","ATL","246.7","1,176.7","8.6","41.6","343.6","2.1","1.9","233.3"
"","high","294.2","1,380.7","10.4","49.9","395.4","2.8","1.2","267.3"
"","low","215.8","1,065.8","7.0","29.0","230.2","1.4","4.0","210.8"
"Nick Chubb","CLE","274.6","1,365.5","9.2","27.5","234.4","1.1","1.6","232.4"
"","high","342.6","1,695.9","11.1","32.8","292.8","1.7","0.9","278.5"
"","low","228.0","1,126.0","8.0","23.7","184.0","0.8","3.0","180.8"
"Derrick Henry","TEN","304.2","1,334.0","9.1","31.9","270.0","0.8","2.0","232.1"
"","high","333.3","1,538.3","10.8","39.0","345.4","1.4","1.6","293.3"
"","low","261.0","1,134.0","8.0","23.6","176.5","0.0","3.0","183.9"
"Saquon Barkley","NYG","253.9","1,132.9","7.9","52.3","368.7","1.7","1.2","231.5"
"","high","302.4","1,372.8","10.7","54.4","430.0","2.2","0.3","287.2"
"","low","233.1","1,001.6","6.6","48.0","315.0","1.0","3.0","198.2"
"Tony Pollard","DAL","219.7","1,090.0","7.9","45.0","374.1","2.1","0.8","227.7"
"","high","277.3","1,313.3","10.0","49.8","420.5","2.7","0.0","267.2"
"","low","163.8","945.4","6.0","39.0","318.6","1.7","2.0","185.5"
"Joe Mixon","CIN","236.2","982.0","7.7","51.0","372.9","2.2","1.1","217.9"
"","high","277.8","1,187.6","10.3","62.2","524.0","2.9","0.5","317.3"
"","low","199.8","800.0","5.5","45.0","318.0","1.7","3.0","175.5"
"Rhamondre Stevenson","NE","218.9","1,044.5","6.5","55.8","383.3","1.5","1.6","215.2"
"","high","276.1","1,236.3","9.4","64.6","520.6","2.4","0.7","311.9"
"","low","197.0","924.3","4.9","48.6","328.7","0.6","3.0","170.9"
"Jonathan Taylor","IND","267.1","1,244.8","8.4","32.0","227.1","0.9","2.2","214.7"
"","high","292.2","1,332.2","10.0","39.1","288.0","2.0","1.5","252.5"
"","low","252.0","1,157.0","7.3","17.3","123.0","0.0","3.0","186.0"
"Aaron Jones","GB","201.4","991.1","5.6","51.4","384.5","2.7","1.3","210.5"
"","high","224.5","1,132.8","9.1","55.3","487.9","3.0","0.6","286.8"
"","low","179.0","835.3","4.0","46.0","333.0","2.4","2.0","171.7"
"Breece Hall","NYJ","192.7","954.0","6.6","41.4","364.1","2.2","1.2","202.8"
"","high","269.2","1,250.3","7.9","42.8","466.0","3.0","0.5","257.8"
"","low","143.0","714.0","5.0","40.0","315.0","1.5","2.0","166.7"
"Najee Harris","PIT","263.0","1,037.5","6.8","40.3","272.5","2.3","1.5","202.7"
"","high","299.3","1,268.6","9.0","45.9","296.5","3.0","0.5","241.2"
"","low","238.0","857.0","5.7","32.6","213.0","1.7","3.0","159.1"
"Travis Etienne Jr.","JAC","221.6","1,089.8","6.6","36.4","293.7","1.0","2.3","197.3"
"","high","273.7","1,245.7","9.7","40.8","324.4","2.0","1.6","241.2"
"","low","203.5","969.4","4.8","31.0","242.3","0.0","2.9","155.2"
"Alexander Mattison","MIN","214.7","935.8","8.0","33.4","229.4","1.6","1.2","188.1"
"","high","250.3","1,113.1","9.1","35.0","248.9","2.1","0.7","245.5"
"","low","176.9","735.0","6.3","29.0","194.0","1.0","2.0","156.7"
"James Conner","ARI","212.5","907.4","6.9","41.4","300.8","1.3","1.3","188.1"
"","high","252.7","1,085.6","8.0","43.0","330.5","1.7","0.5","252.4"
"","low","179.6","685.8","6.0","38.1","290.6","1.0","3.0","160.7"
"Kenneth Walker III","SEA","227.5","1,035.0","8.2","27.6","183.3","0.7","0.6","187.6"
"","high","264.1","1,199.1","9.0","29.7","211.9","1.3","0.0","218.8"
"","low","203.0","867.0","7.4","24.0","151.0","0.0","2.0","149.8"
"Jahmyr Gibbs","DET","177.7","780.2","6.5","44.2","349.8","2.0","1.5","183.1"
"","high","199.1","899.8","7.6","48.1","412.0","2.7","0.8","220.1"
"","low","147.0","644.0","6.0","37.0","249.9","1.1","3.0","152.1"
"Dameon Pierce","HOU","256.1","1,072.1","5.8","32.6","215.9","1.1","2.3","182.1"
"","high","271.3","1,172.2","7.2","36.8","266.3","1.4","1.6","220.7"
"","low","229.4","978.1","4.2","31.0","170.0","1.0","3.0","166.3"
"Rachaad White","TB","206.4","843.4","4.6","47.1","337.8","1.9","2.7","175.0"
"","high","248.6","1,067.7","6.8","55.0","438.7","3.5","1.4","242.2"
"","low","167.8","621.0","1.8","41.2","269.2","1.0","4.0","122.6"
"Miles Sanders","CAR","214.3","1,002.9","6.0","29.8","209.2","0.8","1.4","174.0"
"","high","255.0","1,206.5","8.2","41.0","297.2","1.4","1.0","210.6"
"","low","185.1","920.6","5.0","13.2","102.6","0.0","2.0","135.9"
"Isiah Pacheco","KC","196.8","940.4","6.9","25.0","204.2","0.7","1.9","168.8"
"","high","236.5","1,079.5","9.0","29.5","250.9","1.3","1.4","221.8"
"","low","169.0","831.1","5.0","20.0","148.5","0.0","2.4","129.5"
"Cam Akers","LAR","235.8","975.2","6.4","24.5","204.4","0.7","2.1","168.4"
"","high","285.2","1,264.3","7.0","33.2","279.4","1.6","1.1","199.2"
"","low","201.0","752.0","5.8","20.0","167.9","0.0","3.1","123.3"
"J.K. Dobbins","BAL","174.9","892.5","6.8","22.9","165.4","1.6","0.7","166.3"
"","high","238.0","1,073.2","8.0","27.5","195.0","3.0","0.0","186.6"
"","low","123.6","795.0","6.0","18.6","145.0","0.0","2.0","143.5"
"David Montgomery","DET","194.9","782.0","6.3","33.2","278.9","1.2","1.3","164.9"
"","high","225.6","877.2","7.6","40.0","357.0","1.5","0.8","198.0"
"","low","172.0","641.0","5.1","27.2","220.0","0.8","2.0","138.6"
"Javonte Williams","DEN","170.4","794.5","4.6","36.7","256.8","1.7","1.5","158.4"
"","high","179.9","982.0","6.1","48.0","340.1","2.6","1.1","237.4"
"","low","166.0","717.0","3.0","23.5","162.5","1.0","2.0","133.4"
"James Cook","BUF","154.8","786.0","4.6","34.9","262.4","1.7","1.4","157.5"
"","high","178.8","866.6","5.7","43.5","341.2","2.0","0.8","216.6"
"","low","120.8","703.7","4.0","20.0","172.0","1.0","2.0","126.5"
"Alvin Kamara","NO","164.7","691.1","3.6","40.9","357.4","1.7","1.1","155.3"
"","high","188.0","771.0","5.0","49.2","447.0","2.3","0.7","217.2"
"","low","150.0","626.0","2.0","25.6","198.6","1.0","2.0","123.5"
"D'Andre Swift","PHI","125.5","583.9","5.1","42.0","343.0","1.9","0.9","154.1"
