"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","109.8","1,528.7","8.0","3.7","18.1","0.3","0.4","258.6"
"","high","124.8","1,681.2","10.4","4.2","23.5","1.0","0.0","338.1"
"","low","101.2","1,336.0","6.0","3.0","13.2","0.0","1.0","234.9"
"Ja'Marr Chase","CIN","107.0","1,377.3","10.0","5.2","24.6","0.1","1.1","252.3"
"","high","117.0","1,496.0","11.3","8.5","37.9","0.3","0.0","366.2"
"","low","95.0","1,237.0","8.6","2.0","16.0","0.0","2.0","218.5"
"Tyreek Hill","MIA","105.5","1,402.5","7.8","9.5","57.1","0.6","0.5","247.6"
"","high","114.3","1,510.0","10.4","10.7","68.3","1.0","0.0","365.8"
"","low","92.0","1,265.0","5.0","8.0","42.0","0.0","1.0","205.7"
"Cooper Kupp","LAR","103.5","1,319.9","8.7","7.1","70.0","0.9","0.6","246.7"
"","high","111.5","1,429.9","10.7","9.2","175.7","2.6","0.1","355.9"
"","low","98.0","1,182.0","7.8","5.0","28.1","0.0","1.0","220.8"
"CeeDee Lamb","DAL","97.1","1,274.0","8.0","8.5","55.1","0.3","0.5","229.9"
"","high","107.0","1,379.7","9.9","11.0","74.0","0.7","0.1","348.7"
"","low","87.0","1,135.0","6.0","4.9","29.9","0.0","1.0","194.6"
"Stefon Diggs","BUF","96.8","1,285.8","8.5","0.8","3.9","0.0","0.6","227.0"
"","high","110.1","1,448.3","10.4","2.0","15.1","0.0","0.0","309.6"
"","low","89.0","1,185.0","7.2","0.0","-1.0","0.0","1.0","203.4"
"Davante Adams","LV","93.1","1,222.1","8.8","1.8","6.7","0.1","0.5","221.6"
"","high","108.4","1,344.7","10.4","4.6","25.6","0.3","0.0","288.8"
"","low","80.1","1,116.7","6.5","0.0","0.0","0.0","1.0","207.6"
"A.J. Brown","PHI","79.1","1,209.1","8.7","0.4","4.6","0.0","0.6","212.0"
"","high","92.3","1,379.0","10.0","1.4","19.0","0.2","0.0","257.8"
"","low","69.3","1,085.6","6.7","0.0","0.0","0.0","1.0","203.6"
"Amon-Ra St. Brown","DET","102.1","1,156.1","5.7","7.8","62.3","0.4","0.4","209.2"
"","high","108.4","1,266.6","7.4","10.0","82.8","1.0","0.0","327.1"
"","low","96.0","1,062.0","3.9","4.6","26.5","0.0","1.0","186.1"
"Jaylen Waddle","MIA","79.5","1,179.6","6.5","4.1","35.8","0.3","0.6","200.4"
"","high","87.0","1,279.8","7.8","10.7","78.0","0.6","0.0","286.3"
"","low","69.0","1,104.9","5.0","0.0","0.0","0.0","1.0","178.7"
"Garrett Wilson","NYJ","84.8","1,145.8","6.1","1.9","3.3","0.0","0.7","192.2"
