"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","610.0","406.4","4,848.0","37.4","11.0","63.9","353.1","3.3","1.9","383.4"
"","high","644.4","427.0","5,173.6","39.5","9.1","68.7","434.3","3.9","1.0","434.0"
"","low","555.7","374.0","4,467.7","33.1","12.9","59.2","305.9","2.9","3.8","366.5"
"Jalen Hurts","PHI","494.4","318.8","3,828.5","23.9","10.6","159.8","817.9","11.2","2.9","381.1"
"","high","530.9","350.0","4,039.4","28.0","8.4","174.0","933.2","15.4","1.0","427.0"
"","low","455.4","290.2","3,507.0","18.8","14.7","141.8","670.4","7.7","4.6","370.6"
"Josh Allen","BUF","571.1","360.4","4,266.8","31.9","14.2","117.2","658.8","6.5","4.2","380.5"
"","high","610.2","387.4","4,555.1","34.2","10.8","129.7","704.0","7.6","2.2","393.5"
"","low","527.3","338.2","4,076.9","30.3","19.0","105.4","592.4","5.4","5.5","371.9"
"Lamar Jackson","BAL","472.3","299.2","3,438.2","25.4","11.9","153.1","973.6","5.6","3.0","352.2"
"","high","535.0","330.0","3,702.0","28.0","10.0","170.4","1,082.1","7.4","1.5","367.0"
"","low","402.6","263.0","3,090.5","20.1","16.0","138.0","888.0","3.0","4.3","338.6"
"Joe Burrow","CIN","591.6","402.5","4,599.7","32.4","12.9","65.8","285.1","3.8","2.3","347.8"
"","high","634.4","425.2","4,780.5","33.7","11.6","70.3","423.6","4.6","0.6","366.4"
"","low","567.5","391.2","4,317.0","29.0","14.2","61.1","226.0","2.5","3.7","330.9"
"Justin Fields","CHI","394.3","243.0","2,846.4","20.4","13.4","164.6","1,089.4","7.1","3.5","326.3"
"","high","441.0","275.5","3,194.5","22.0","10.4","189.8","1,235.2","8.5","0.7","333.0"
"","low","351.8","213.3","2,626.8","17.3","19.0","138.9","912.1","6.0","5.9","310.4"
"Justin Herbert","LAC","628.5","423.0","4,604.0","30.2","12.9","57.9","217.3","2.0","2.0","321.6"
"","high","690.0","469.0","4,813.2","31.7","11.3","60.5","274.4","3.6","0.4","341.0"
"","low","591.1","397.5","4,305.1","29.0","15.9","55.0","173.0","1.0","3.8","319.6"
"Deshaun Watson","CLE","504.8","327.6","3,900.4","24.8","11.2","99.6","502.9","4.5","1.8","317.9"
"","high","564.0","355.0","4,021.6","28.1","9.0","113.3","546.0","7.0","0.5","343.0"
"","low","474.5","314.9","3,759.6","22.9","16.0","84.5","443.2","3.2","3.4","299.9"
"Dak Prescott","DAL","548.7","360.7","4,107.3","29.4","13.8","60.0","263.3","2.6","3.1","304.3"
"","high","567.2","369.9","4,218.9","31.8","12.9","65.0","304.6","3.1","1.8","315.0"
"","low","536.6","353.1","3,900.0","26.4","16.0","55.1","218.3","2.0","3.7","292.4"
"Trevor Lawrence","JAC","580.2","380.0","4,092.6","27.5","12.6","60.8","280.2","4.1","5.2","303.3"
"","high","595.7","395.1","4,328.9","30.0","9.1","63.7","305.1","6.8","1.8","318.0"
"","low","562.9","363.3","3,894.9","26.1","14.6","55.8","250.4","2.9","8.0","289.2"
"Kirk Cousins","MIN","592.6","396.0","4,464.2","30.4","12.4","31.0","90.3","1.6","2.8","300.9"
"","high","636.0","430.0","4,621.0","31.8","9.9","41.6","102.4","2.0","0.7","338.0"
"","low","508.2","346.9","4,147.6","28.0","14.0","22.9","63.8","0.9","4.2","285.5"
"Daniel Jones","NYG","519.3","337.8","3,494.7","21.0","10.7","107.1","636.0","5.1","4.1","298.6"
"","high","541.0","355.3","3,629.8","22.0","9.0","121.9","750.8","5.7","1.9","313.0"
"","low","509.8","329.8","3,317.0","19.6","12.0","91.1","553.8","4.0","6.9","289.0"
"Geno Smith","SEA","533.4","363.4","4,012.7","26.9","11.6","59.8","322.0","2.2","3.7","294.4"
"","high","582.2","391.5","4,258.9","28.9","8.8","64.0","366.5","4.0","1.6","305.5"
"","low","467.7","328.1","3,649.8","25.2","13.0","55.4","274.9","1.0","5.0","282.2"
"Aaron Rodgers","NYJ","560.1","362.1","4,095.2","28.6","8.1","36.0","127.4","1.6","2.6","287.5"
"","high","612.0","380.9","4,390.0","30.8","6.0","41.2","167.8","2.0","1.3","315.0"
"","low","491.6","329.7","3,750.1","25.0","10.4","30.0","83.0","1.2","3.7","278.8"
"Russell Wilson","DEN","513.6","325.4","3,840.5","24.6","10.4","64.6","329.4","2.8","2.1","287.0"
"","high","552.5","353.2","4,012.0","27.7","8.6","66.0","359.0","4.0","0.4","321.0"
"","low","447.8","286.7","3,441.3","23.4","12.0","63.4","296.0","1.8","3.8","253.3"
"Jared Goff","DET","572.9","375.9","4,240.7","27.9","10.9","30.8","81.4","1.3","3.5","279.0"
