"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","108.5","1,266.8","9.8","0.6","238.8"
"","high","115.0","1,319.9","12.7","0.0","348.8"
"","low","98.0","1,184.0","7.9","1.0","221.2"
"Mark Andrews","BAL","75.6","887.2","6.1","0.4","164.0"
"","high","84.4","947.8","7.9","0.0","235.8"
"","low","66.0","843.0","5.1","1.0","146.8"
"T.J. Hockenson","MIN","82.2","819.3","5.7","0.5","156.1"
"","high","88.6","854.9","7.5","0.0","233.4"
"","low","77.0","792.2","4.9","1.0","141.1"
"George Kittle","SF","60.0","796.7","6.1","0.5","145.7"
"","high","64.0","853.6","8.0","0.0","215.8"
"","low","57.0","732.3","4.5","1.0","132.9"
"Darren Waller","NYG","67.3","811.2","4.5","0.6","140.6"
"","high","67.8","934.6","6.1","0.0","231.6"
"","low","67.0","727.7","2.7","1.0","128.7"
"Dallas Goedert","PHI","68.3","796.3","4.4","0.6","139.2"
"","high","74.2","882.5","5.0","0.0","225.7"
"","low","63.6","724.2","3.4","1.0","132.9"
"Kyle Pitts","ATL","57.9","752.4","3.6","0.3","125.1"
"","high","60.2","818.1","4.6","0.0","181.3"
"","low","54.0","669.0","1.4","1.0","120.0"
"Evan Engram","JAC","63.5","649.1","3.7","0.5","118.7"
"","high","65.0","669.0","4.5","0.0","180.0"
"","low","61.3","612.1","3.0","1.0","111.7"
"Pat Freiermuth","PIT","59.9","633.3","4.1","0.5","116.8"
"","high","65.0","679.0","4.4","0.0","164.7"
"","low","55.8","564.4","3.7","1.0","110.0"
"Dalton Schultz","HOU","57.6","598.3","4.3","0.5","113.2"
"","high","61.0","674.6","5.2","0.0","184.8"
"","low","54.7","521.4","3.1","1.0","103.2"
"David Njoku","CLE","54.7","588.5","4.3","0.5","111.9"
"","high","60.0","680.0","5.0","0.0","156.9"
"","low","51.9","525.4","3.8","1.0","107.4"
"Greg Dulcich","DEN","49.6","612.6","3.8","0.0","109.0"
"","high","52.5","652.0","4.6","0.0","155.1"
"","low","48.0","556.0","2.9","0.0","104.8"
"Chigoziem Okonkwo","TEN","47.9","584.6","3.7","0.0","107.5"
"","high","56.0","616.5","4.0","0.0","163.1"
"","low","41.0","553.9","3.4","0.0","97.9"
"Tyler Higbee","LAR","58.2","547.4","3.3","0.3","102.8"
"","high","62.0","598.4","4.0","0.0","167.1"
"","low","55.6","525.7","1.8","1.0","97.1"
"Gerald Everett","LAC","53.5","540.8","3.6","0.6","101.2"
"","high","59.6","586.1","4.2","0.0","170.3"
"","low","50.0","524.0","2.5","1.0","92.7"
