"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","108.4","1,255.4","9.8","0.6","237.7"
"","high","119.8","1,361.5","12.7","0.0","362.0"
"","low","98.0","1,144.6","7.9","1.0","221.2"
"Mark Andrews","BAL","75.2","885.7","6.3","0.2","165.4"
"","high","85.5","960.3","8.0","0.0","235.6"
"","low","66.0","844.0","5.1","0.6","148.6"
"T.J. Hockenson","MIN","80.4","824.8","5.6","0.5","155.6"
"","high","88.6","854.5","7.5","0.0","232.6"
"","low","75.2","792.2","4.9","1.0","140.2"
"Darren Waller","NYG","67.3","820.6","4.9","0.3","144.6"
"","high","67.8","934.6","6.3","0.0","231.6"
"","low","67.0","721.1","3.1","0.8","129.9"
"George Kittle","SF","59.5","764.7","5.7","0.5","140.1"
"","high","63.9","821.0","8.0","0.0","208.0"
"","low","56.0","716.1","3.8","1.0","132.5"
"Dallas Goedert","PHI","66.5","754.2","4.1","0.5","132.5"
"","high","74.2","882.5","5.0","0.0","224.8"
"","low","62.2","637.2","2.8","1.0","118.8"
"Kyle Pitts","ATL","58.6","790.8","3.8","0.1","131.1"
"","high","66.2","883.0","4.6","0.0","197.0"
"","low","54.0","737.9","1.8","0.3","122.3"
"Evan Engram","JAC","62.4","650.9","3.7","0.2","119.2"
"","high","65.0","669.0","4.5","0.0","179.5"
"","low","59.4","612.1","3.0","0.6","113.2"
"Pat Freiermuth","PIT","59.9","634.0","4.1","0.2","117.4"
"","high","64.1","686.0","4.3","0.0","164.6"
"","low","55.8","564.4","3.7","0.5","114.9"
"Dalton Schultz","HOU","56.5","582.8","4.2","0.5","110.7"
"","high","61.0","642.3","5.1","0.0","177.5"
"","low","54.7","522.0","3.1","1.0","102.7"
"David Njoku","CLE","53.0","579.2","4.4","0.4","110.4"
"","high","57.0","656.0","5.0","0.0","152.9"
"","low","51.0","514.3","3.6","1.0","107.4"
"Tyler Higbee","LAR","59.1","564.8","3.3","0.1","105.5"
"","high","64.2","623.4","3.9","0.0","172.4"
"","low","55.0","511.0","2.0","0.3","91.5"
"Chigoziem Okonkwo","TEN","46.7","570.8","3.7","0.1","105.2"
"","high","56.0","616.5","4.0","0.0","162.5"
"","low","41.0","515.4","3.4","0.3","97.3"
"Gerald Everett","LAC","51.4","530.3","3.6","0.3","100.0"
"","high","59.6","586.1","4.2","0.0","169.3"
"","low","47.4","501.9","2.5","0.8","93.7"
"Greg Dulcich","DEN","45.2","570.1","3.3","0.1","99.3"
"","high","48.4","634.6","4.4","0.0","152.9"
"","low","41.7","480.5","1.3","0.3","91.0"
"Cole Kmet","CHI","45.8","505.0","4.1","0.2","97.9"
"","high","53.9","578.9","6.0","0.0","136.9"
