"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","219.2","1,013.3","7.4","74.8","631.6","4.2","0.5","270.4"
"","high","246.0","1,107.0","9.8","87.0","675.4","5.4","0.0","360.6"
"","low","193.9","882.3","6.0","66.0","545.6","2.5","1.0","238.4"
"Austin Ekeler","LAC","191.2","863.6","9.4","77.7","605.5","3.9","1.5","262.8"
"","high","214.3","1,026.2","11.0","85.0","674.0","5.0","0.6","353.7"
"","low","174.0","716.5","5.8","67.3","499.8","2.9","2.0","245.5"
"Derrick Henry","TEN","307.8","1,347.1","9.4","32.0","271.0","0.8","1.8","235.5"
"","high","333.1","1,537.7","10.8","39.0","345.4","1.4","1.6","293.4"
"","low","276.0","1,198.0","8.2","23.6","176.5","0.0","2.0","200.0"
"Bijan Robinson","ATL","249.1","1,186.1","8.9","40.6","337.2","2.0","1.9","234.5"
"","high","304.2","1,427.4","10.7","49.6","395.4","2.8","1.2","268.3"
"","low","215.8","1,065.8","7.8","29.0","230.2","1.4","4.0","216.3"
"Saquon Barkley","NYG","254.0","1,134.3","7.9","53.2","379.6","1.7","0.7","234.2"
"","high","302.5","1,385.9","10.8","54.5","429.7","2.2","0.3","287.6"
"","low","233.1","1,001.6","6.6","52.0","341.0","1.0","1.0","202.6"
"Tony Pollard","DAL","222.8","1,116.7","8.2","45.3","378.3","2.2","0.5","233.5"
"","high","291.3","1,389.4","11.1","53.2","473.5","2.9","0.0","287.1"
"","low","163.8","945.4","6.0","38.7","316.3","1.7","1.0","189.7"
"Nick Chubb","CLE","279.3","1,369.2","9.1","28.3","234.9","1.1","1.1","233.4"
"","high","345.3","1,709.4","11.1","31.4","275.1","1.6","0.9","273.5"
"","low","250.0","1,233.0","8.0","24.0","208.1","0.8","1.5","194.1"
"Josh Jacobs","LV","259.0","1,212.0","9.6","38.8","286.1","0.8","1.2","229.5"
"","high","282.8","1,443.2","10.6","44.0","337.0","1.7","1.0","304.9"
"","low","240.0","1,098.5","9.0","33.0","228.9","0.0","1.4","193.4"
"Jonathan Taylor","IND","276.1","1,263.3","8.4","32.1","226.6","0.8","2.1","215.7"
"","high","335.0","1,605.9","9.7","39.1","268.0","1.2","1.4","252.6"
"","low","249.0","1,147.0","7.3","22.2","165.0","0.0","3.0","182.1"
"Joe Mixon","CIN","229.4","959.4","7.5","50.0","368.8","2.2","0.6","214.4"
"","high","261.1","1,149.2","9.7","62.2","524.0","2.9","0.5","316.8"
"","low","202.3","800.0","5.8","41.2","284.6","1.8","1.0","179.0"
"Aaron Jones","GB","200.2","988.3","5.6","49.6","374.0","2.7","1.3","207.7"
"","high","225.0","1,135.3","9.1","55.3","487.9","3.0","0.6","285.9"
"","low","179.0","847.1","3.9","41.6","288.7","2.3","2.0","173.8"
"Najee Harris","PIT","255.9","1,013.1","6.6","38.2","260.2","2.2","1.0","197.2"
"","high","292.0","1,237.3","8.8","44.0","289.0","3.0","0.5","240.2"
"","low","214.0","772.0","5.0","32.6","204.0","1.7","1.3","147.1"
"Rhamondre Stevenson","NE","208.2","929.4","5.7","50.2","358.2","1.3","1.0","194.0"
"","high","251.3","1,125.0","8.1","55.0","411.9","2.2","0.4","227.8"
"","low","194.0","672.8","4.8","44.1","322.0","0.6","1.3","165.1"
"Travis Etienne Jr.","JAC","218.5","1,077.3","6.4","35.0","285.3","0.9","2.3","193.3"
"","high","255.3","1,193.5","8.7","40.2","322.6","1.8","1.6","234.3"
