"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","110.9","1,523.6","8.3","3.7","19.0","0.3","0.3","260.7"
"","high","124.5","1,682.7","10.2","4.2","23.5","1.0","0.0","338.7"
"","low","101.2","1,336.0","6.9","3.0","13.2","0.0","0.8","243.4"
"Ja'Marr Chase","CIN","105.9","1,390.0","10.2","4.9","24.0","0.1","1.1","253.7"
"","high","117.0","1,496.3","11.2","8.5","37.9","0.3","0.0","365.7"
"","low","95.0","1,236.0","8.6","2.0","16.0","0.0","2.0","218.0"
"Tyreek Hill","MIA","105.5","1,395.5","8.0","9.2","55.7","0.6","0.4","248.3"
"","high","114.3","1,510.0","10.4","10.7","68.3","1.0","0.0","365.8"
"","low","93.0","1,272.0","6.0","8.0","42.0","0.0","0.9","213.8"
"Cooper Kupp","LAR","107.2","1,336.1","8.3","8.1","73.7","0.8","0.8","247.5"
"","high","121.8","1,441.7","10.4","11.2","198.9","2.7","0.1","366.6"
"","low","94.0","1,133.0","6.4","5.0","28.1","0.0","1.4","217.6"
"CeeDee Lamb","DAL","99.0","1,294.3","7.7","8.7","55.8","0.3","0.3","231.5"
"","high","108.2","1,548.4","9.8","11.0","74.0","0.6","0.0","373.5"
"","low","87.0","1,132.0","6.0","4.8","29.0","0.0","0.7","197.5"
"Stefon Diggs","BUF","97.2","1,274.3","8.4","0.6","3.2","0.0","0.4","225.8"
"","high","111.2","1,458.1","10.5","2.0","15.1","0.0","0.0","309.8"
"","low","89.0","1,186.0","7.2","0.0","-1.0","0.0","0.8","205.6"
"Davante Adams","LV","93.6","1,260.5","8.4","1.8","7.6","0.1","0.3","224.1"
"","high","108.0","1,478.6","10.3","4.6","25.6","0.3","0.0","289.1"
"","low","80.1","1,092.7","6.2","0.0","0.0","0.0","0.8","209.8"
"Amon-Ra St. Brown","DET","101.3","1,149.7","5.8","8.1","63.2","0.5","0.2","209.2"
"","high","111.3","1,304.9","7.6","10.0","84.9","1.0","0.0","326.7"
"","low","95.2","1,046.5","4.2","4.6","26.6","0.0","0.6","187.6"
"A.J. Brown","PHI","77.8","1,195.1","8.3","0.3","3.8","0.0","0.6","207.7"
"","high","92.2","1,380.4","10.0","1.4","19.0","0.2","0.0","257.2"
